,Stock Pairs,Initial Investment,Final Value,Profit,Return(%)
1,"('APOLLOHOSP', 'TITAN')",200000,510410.98193359375,110410.98193359375,27.60274548339844
2,"('APOLLOHOSP', 'ULTRACEMCO')",200000,482070.26025390625,82070.26025390625,20.51756506347656
3,"('JSWSTEEL', 'TATASTEEL')",200000,477284.17238616943,77284.17238616943,19.321043096542358
4,"('ADANIPORTS', 'JSWSTEEL')",200000,467687.0733642578,67687.07336425781,16.921768341064453
5,"('APOLLOHOSP', 'INFY')",200000,467207.97204589844,67207.97204589844,16.801993011474607
6,"('APOLLOHOSP', 'ASIANPAINT')",200000,463485.5061035156,63485.506103515625,15.871376525878905
7,"('ASIANPAINT', 'TCS')",200000,462237.0261230469,62237.026123046875,15.55925653076172
8,"('APOLLOHOSP', 'HCLTECH')",200000,459091.37939453125,59091.37939453125,14.772844848632813
9,"('ASIANPAINT', 'DIVISLAB')",200000,454200.2634277344,54200.263427734375,13.550065856933594
10,"('BHARTIARTL', 'NESTLEIND')",200000,450450.33166503906,50450.33166503906,12.612582916259765
11,"('BAJAJ-AUTO', 'HDFCBANK')",200000,450172.029296875,50172.029296875,12.543007324218749
12,"('BPCL', 'SBILIFE')",200000,449439.8401489258,49439.84014892578,12.359960037231446
13,"('ASIANPAINT', 'INFY')",200000,448693.8670654297,48693.86706542969,12.173466766357421
14,"('BPCL', 'HDFCLIFE')",200000,448252.0168762207,48252.0168762207,12.063004219055177
15,"('HINDUNILVR', 'RELIANCE')",200000,447709.4677734375,47709.4677734375,11.927366943359374
16,"('LT', 'SBIN')",200000,447534.45809936523,47534.458099365234,11.883614524841308
17,"('HDFC', 'KOTAKBANK')",200000,446024.17724609375,46024.17724609375,11.506044311523437
18,"('BPCL', 'KOTAKBANK')",200000,444125.8002319336,44125.800231933594,11.031450057983399
19,"('BPCL', 'HINDUNILVR')",200000,442975.4907531738,42975.49075317383,10.743872688293457
20,"('HDFCBANK', 'TCS')",200000,441576.466796875,41576.466796875,10.39411669921875
21,"('GRASIM', 'HINDALCO')",200000,440119.889251709,40119.889251708984,10.029972312927246
22,"('HCLTECH', 'INFY')",200000,440109.1719970703,40109.17199707031,10.027292999267578
23,"('HINDALCO', 'POWERGRID')",200000,439302.662979126,39302.66297912598,9.825665744781494
24,"('COALINDIA', 'INDUSINDBK')",200000,435563.3610839844,35563.361083984375,8.890840270996094
25,"('APOLLOHOSP', 'POWERGRID')",200000,434829.85568237305,34829.85568237305,8.707463920593261
26,"('BAJFINANCE', 'HDFC')",200000,434392.7966308594,34392.796630859375,8.598199157714843
27,"('TCS', 'ULTRACEMCO')",200000,432358.28369140625,32358.28369140625,8.089570922851562
28,"('BAJFINANCE', 'TCS')",200000,431975.8771972656,31975.877197265625,7.993969299316406
29,"('BRITANNIA', 'RELIANCE')",200000,429086.5529785156,29086.552978515625,7.271638244628906
30,"('DIVISLAB', 'TCS')",200000,428216.8078613281,28216.807861328125,7.054201965332031
31,"('POWERGRID', 'TITAN')",200000,427844.2490081787,27844.24900817871,6.961062252044678
32,"('HDFCBANK', 'ULTRACEMCO')",200000,427382.13623046875,27382.13623046875,6.845534057617188
33,"('EICHERMOT', 'M&M')",200000,425700.04217529297,25700.04217529297,6.425010543823243
34,"('INFY', 'TCS')",200000,425684.0407714844,25684.040771484375,6.421010192871093
35,"('HDFC', 'HDFCBANK')",200000,422402.19970703125,22402.19970703125,5.600549926757813
36,"('POWERGRID', 'ULTRACEMCO')",200000,422068.78552246094,22068.785522460938,5.517196380615235
37,"('HDFC', 'ICICIBANK')",200000,418019.3634033203,18019.363403320312,4.504840850830078
38,"('BAJAJFINSV', 'POWERGRID')",200000,417321.9300842285,17321.930084228516,4.330482521057129
39,"('HDFCBANK', 'KOTAKBANK')",200000,413945.59826660156,13945.598266601562,3.486399566650391
40,"('HINDUNILVR', 'NESTLEIND')",200000,413166.5510253906,13166.551025390625,3.291637756347656
41,"('BAJAJ-AUTO', 'HDFCLIFE')",200000,413068.42864990234,13068.428649902344,3.267107162475586
42,"('ASIANPAINT', 'HCLTECH')",200000,412020.0944824219,12020.094482421875,3.005023620605469
43,"('ADANIPORTS', 'ULTRACEMCO')",200000,407836.234375,7836.234375,1.9590585937499998
44,"('DIVISLAB', 'TATACONSUM')",200000,405835.9234008789,5835.923400878906,1.4589808502197266
45,"('APOLLOHOSP', 'WIPRO')",200000,400835.6120605469,835.612060546875,0.20890301513671874
46,"('BRITANNIA', 'TATACONSUM')",200000,400559.1803588867,559.1803588867188,0.1397950897216797
47,"('TECHM', 'TITAN')",200000,397858.1686401367,-2141.8313598632812,-0.5354578399658203
48,"('BAJFINANCE', 'ICICIBANK')",200000,365914.41052246094,-34085.58947753906,-8.521397369384767
49,"('GRASIM', 'TATASTEEL')",200000,365811.6667098999,-34188.3332901001,-8.547083322525024
50,"('POWERGRID', 'TECHM')",200000,362339.2616882324,-37660.73831176758,-9.415184577941895
51,"('POWERGRID', 'WIPRO')",200000,359235.129776001,-40764.87022399902,-10.191217555999756
52,"('BRITANNIA', 'DRREDDY')",200000,357861.064453125,-42138.935546875,-10.534733886718751
53,"('ULTRACEMCO', 'WIPRO')",200000,349275.4577636719,-50724.542236328125,-12.681135559082032
54,"('ADANIENT', 'ULTRACEMCO')",200000,342889.20361328125,-57110.79638671875,-14.277699096679688
55,"('ADANIENT', 'APOLLOHOSP')",200000,337631.08544921875,-62368.91455078125,-15.592228637695312
56,"('HINDALCO', 'TATASTEEL')",200000,300104.059425354,-99895.940574646,-24.973985143661498
57,"('ADANIENT', 'WIPRO')",200000,259970.21533203125,-140029.78466796875,-35.00744616699219
